Identifiant_Station,Bornettes_Libres,Total_Velos_Dispo,Velos_Mecaniques,Velos_Electriques
15127,16,21,20,1
41401,3,22,14,8
14031,4,18,8,10
16019,28,8,7,1
3102,32,8,8,0
10019,12,16,10,6
11033,6,25,20,5
41203,28,23,10,13
10033,16,7,3,4
18039,1,19,7,12
10024,18,0,0,0
40006,43,0,0,0
12036,18,21,12,9
10008,2,15,12,3
16012,34,5,5,0
16036,10,47,39,8
42505,0,30,15,15
8117,40,0,0,0
10032,22,10,8,2
12015,28,8,4,4
14001,22,4,3,1
26004,1,21,15,6
18139,22,4,1,3
15001,37,6,4,2
15008,41,20,18,2
11112,0,21,12,9
5007,27,8,3,5
16105,29,1,1,0
3008,5,29,25,4
6010,13,2,1,1
5015,57,6,5,1
15128,4,32,32,0
44014,20,5,2,3
18004,11,1,0,1
20001,20,15,3,12
20008,22,10,4,6
12019,0,27,21,6
20104,18,4,1,3
8110,27,4,3,1
16102,24,3,1,2
4021,21,3,1,2
19002,9,29,14,15
17019,11,5,4,1
22301,3,19,10,9
20006,4,7,4,3
10011,8,8,5,3
14137,25,4,3,1
14019,12,10,3,7
3011,9,18,15,3
10027,9,8,8,0
22401,32,0,0,0
4103,21,2,1,1
9037,17,7,1,6
7021,14,13,10,3
19129,29,0,0,0
2003,25,5,4,1
1102,32,5,4,1
13017,26,6,4,2
24006,29,10,5,5
3009,15,4,3,1
14132,24,5,1,4
2002,24,3,1,2
31001,15,12,8,4
22306,4,14,10,4
4015,36,8,6,2
3003,5,23,22,1
19111,28,11,5,6
9111,17,2,1,1
5122,24,4,0,4
13125,14,38,36,2
48005,15,8,1,7
4012,13,12,2,10
21215,20,13,4,9
4017,10,1,1,0
26006,7,23,10,13
42211,0,24,10,14
42026,24,16,4,12
3002,4,14,13,1
13054,51,1,0,1
35012,16,7,1,6
21505,19,5,0,5
2016,8,11,8,3
4018,13,4,2,2
16044,3,28,19,9
4009,23,2,1,1
2012,44,0,0,0
33020,13,17,8,9
32019,6,22,15,7
1026,21,7,4,3
23101,9,15,4,11
17106,15,8,6,2
32024,12,14,3,11
6201,19,3,1,2
6026,58,7,7,0
1023,26,5,2,3
48008,20,10,2,8
19202,11,30,14,16
14201,12,18,7,11
5003,32,2,1,1
43403,40,0,0,0
3007,13,15,12,3
31020,21,12,7,5
28005,18,8,7,1
35005,9,12,6,6
18112,15,10,7,3
6007,16,7,3,4
12166,19,4,2,2
21119,3,20,13,7
23042,28,2,0,2
42019,4,38,23,15
32022,0,0,0,0
27006,2,20,12,8
44004,1,26,15,11
1024,18,3,1,2
2102,33,0,0,0
2020,16,1,1,0
12016,22,13,8,5
42210,3,25,16,9
21011,18,3,3,0
20140,18,4,1,3
48012,15,11,4,7
20010,28,4,0,4
26012,0,16,7,9
20048,17,9,1,8
45004,7,28,6,22
23202,6,11,4,7
32605,12,7,0,7
8202,24,1,1,0
32011,37,6,0,6
17020,20,4,2,2
12202,15,24,22,2
8040,28,2,2,0
10202,25,2,1,1
8018,40,5,3,2
20142,15,5,4,1
18010,16,19,5,14
48001,12,13,2,11
18135,17,6,1,5
21329,12,16,8,8
19114,11,7,0,7
13024,24,7,5,2
19006,0,0,0,0
23041,22,3,2,1
24005,19,11,5,6
15203,8,19,18,1
11111,0,18,7,11
19117,24,6,3,3
21022,3,22,19,3
20003,17,2,1,1
41103,16,6,2,4
41602,21,8,4,4
15069,10,34,31,3
42303,3,15,10,5
48002,10,27,7,20
41605,3,19,5,14
30003,12,16,9,7
35013,2,14,4,10
12119,25,24,21,3
10009,11,7,3,4
15050,2,20,19,1
16025,33,32,29,3
13036,30,5,2,3
17117,24,5,2,3
16017,11,5,3,2
20013,41,2,1,1
5033,23,4,1,3
15045,31,4,0,4
12022,21,12,11,1
21023,0,23,20,3
22404,8,15,1,14
20014,26,7,2,5
30004,20,5,5,0
14035,45,4,0,4
20110,19,1,0,1
8007,27,2,1,1
17006,17,19,11,8
21207,19,10,4,6
11016,31,17,14,3
12122,42,8,4,4
15120,2,27,24,3
16023,23,6,6,0
24007,0,21,19,2
6004,42,3,1,2
15114,9,1,0,1
15014,17,16,9,7
13055,55,4,2,2
22014,13,11,9,2
20011,16,4,1,3
15044,30,3,0,3
13023,26,2,1,1
28002,1,0,0,0
21016,9,30,22,8
5105,0,16,12,4
22007,31,3,1,2
12039,16,21,19,2
13037,12,7,2,5
14025,19,11,7,4
6009,30,5,3,2
16104,22,12,8,4
20033,36,11,8,3
30005,17,13,3,10
30007,0,0,0,0
17050,21,5,0,5
13013,5,15,11,4
8044,29,3,2,1
1201,24,2,1,1
51007,7,21,7,14
17036,19,8,4,4
11038,26,16,14,2
21112,21,35,21,14
22703,2,27,16,11
25009,2,18,16,2
41101,14,9,5,4
3201,0,23,21,2
20035,23,3,0,3
23106,17,3,1,2
20037,6,18,0,18
19045,51,15,10,5
22302,14,26,19,7
13053,19,2,0,2
9029,37,1,1,0
41212,9,13,3,10
41304,0,30,27,3
7007,63,0,0,0
35021,17,14,2,12
18018,14,4,1,3
10025,7,5,5,0
32305,15,15,0,15
21954,10,12,2,10
22507,14,10,2,8
25010,25,5,0,5
22018,30,5,4,1
21320,36,3,3,0
11001,43,8,3,5
21327,8,23,21,2
23203,20,5,0,5
17126,28,2,0,2
17127,27,13,7,6
26009,0,28,16,12
34012,7,18,14,4
23204,17,11,1,10
21514,20,4,0,4
31303,6,18,8,10
17010,24,15,12,3
8008,27,2,2,0
7201,17,1,1,0
31201,19,18,8,10
47008,1,0,0,0
13204,28,13,9,4
13035,20,0,0,0
15062,0,34,32,2
10114,52,6,5,1
18134,20,3,2,1
13203,20,3,0,3
13202,20,5,4,1
11037,30,6,5,1
18041,18,1,1,0
11020,6,31,28,3
18044,25,4,1,3
3004,13,4,1,3
11009,2,21,16,5
35001,11,10,3,7
18205,17,16,6,10
8057,31,1,1,0
7023,28,28,26,2
7109,31,5,2,3
7025,26,5,2,3
4108,19,6,6,0
40010,8,13,0,13
40012,11,6,1,5
40013,0,35,27,8
12201,1,49,41,8
12010,4,17,14,3
26005,0,28,24,4
40003,13,4,2,2
14021,53,4,2,2
13106,22,0,0,0
40015,6,18,6,12
22504,0,0,0,0
51005,17,18,8,10
32004,13,26,16,10
20137,19,6,0,6
15026,12,21,17,4
1022,33,3,1,2
41301,46,4,4,0
19203,26,1,0,1
4010,15,8,6,2
34014,2,30,13,17
27004,17,10,7,3
21404,8,12,0,12
17123,16,2,2,0
1002,21,1,0,1
17038,47,13,9,4
8052,28,2,1,1
32001,7,21,5,16
40002,15,6,2,4
8002,15,24,19,5
12127,44,4,0,4
21021,30,12,12,0
9104,17,5,2,3
8004,65,4,4,0
12105,9,24,22,2
4005,0,0,0,0
16107,14,17,15,2
9020,16,4,0,4
14014,49,10,5,5
11104,15,5,2,3
7002,14,19,17,2
5110,22,1,0,1
6108,7,8,4,4
33006,17,11,3,8
30002,34,2,0,2
7003,55,3,1,2
17041,19,14,10,4
5016,12,2,0,2
11025,2,40,35,5
6021,14,5,3,2
15202,26,3,0,3
13101,10,22,19,3
17044,33,6,4,2
21326,15,5,1,4
20143,35,9,5,4
43002,14,12,4,8
21216,6,19,5,14
22207,7,14,3,11
92002,15,8,5,3
31028,15,13,4,9
17048,27,1,1,0
44017,3,25,24,1
2017,33,6,5,1
9008,11,6,4,2
14013,6,21,10,11
13030,16,5,1,4
48003,18,3,0,3
10115,19,5,2,3
10161,22,8,7,1
21328,26,3,1,2
17040,36,12,10,2
8009,25,1,1,0
31103,17,11,1,10
7018,12,7,6,1
9014,27,5,2,3
9106,27,1,1,0
19105,9,7,1,6
31706,21,3,2,1
19015,8,16,5,11
9022,32,1,1,0
17004,25,13,7,6
19003,19,4,2,2
5020,34,2,0,2
92007,20,2,1,1
9028,15,1,0,1
10107,41,8,4,4
19026,2,11,1,10
16039,15,32,27,5
45003,20,16,8,8
11002,5,17,13,4
12111,16,11,5,6
8034,34,1,1,0
5032,38,1,0,1
18107,26,6,2,4
15067,4,8,8,0
6006,18,1,0,1
12128,17,17,17,0
31022,27,24,12,12
46002,5,30,25,5
10016,10,4,3,1
31009,18,8,1,7
41302,35,14,6,8
14020,50,8,2,6
33102,4,13,0,13
42706,15,10,7,3
14003,38,12,11,1
43008,2,23,15,8
5018,28,9,7,2
46003,9,15,6,9
21312,24,6,1,5
18028,15,15,3,12
35010,20,3,0,3
8017,63,2,2,0
5124,23,1,0,1
14106,18,3,1,2
18046,26,7,0,7
15109,1,28,23,5
21209,19,9,5,4
14012,20,17,8,9
21005,11,8,6,2
10042,28,4,3,1
42014,23,8,6,2
8045,50,5,2,3
14124,3,19,6,13
21006,1,25,24,1
44013,8,22,11,11
20131,27,5,5,0
16202,1,0,0,0
21015,6,14,11,3
5028,1,25,24,1
48010,12,3,1,2
42021,2,30,17,13
35020,18,2,0,2
1020,32,4,2,2
20115,18,2,0,2
6025,28,4,1,3
11030,13,10,6,4
11039,17,19,15,4
17013,18,5,2,3
32604,43,6,0,6
19024,16,2,0,2
23006,0,22,12,10
17105,32,8,7,1
18009,14,5,0,5
16108,32,5,5,0
43005,43,6,2,4
16136,2,26,25,1
21701,16,13,1,12
16008,27,5,1,4
11024,2,47,47,0
19022,8,16,1,15
16038,0,0,0,0
21008,6,26,19,7
